,Opens in Q3 (1-Quarter Closure),Opens in Q4 (2-Quarter Closure),Stays Closed Through 2026 (3-Quarter)
Q1 2026,0.0,0.0,0.0
Q2 2026,-2.9,-2.9,-2.9
Q3 2026,2.2,-1.2,-1.2
Q4 2026,0.1,2.7,-1.1
